Drug	Target
DB01095	CYP2D6
DB00114	SHMT1
DB00439	CYP3A4
DB05096	GRM3
DB06637	KCND3
DB01085	CHRM2
DB03179	COMTD1
DB06678	HTR2C
DB03088	VEGFA
DB03757	CELA1
DB00854	OPRM1
DB00338	CYP2C19
DB08697	PLAU
DB00458	SLC6A2
DB00945	AKR1C1
DB03033	MMP3
DB00812	PTGS2
DB06871	ESR1
DB07934	F2
DB00622	CYP2B6
DB02726	PKM
DB00182	ADRB1
DB00613	CYP2C8
DB00934	ADRA2B
DB06605	CYP2C9
DB07374	RPL15
DB00169	VDR
DB00575	ADRA2B
DB07347	GAPDH
DB06016	HTR1A
DB06866	F2
DB05207	IL1R1
DB01403	DRD3
DB04400	PAH
DB06858	PRSS1
DB00174	NARS
DB00155	NOS1
DB06695	UGT2B15
DB06678	HTR2A
DB00289	GRIN2A
DB01324	SLC12A3
DB06944	CDK2
DB00114	PNPO
DB00157	NDUFS2
DB00655	CYP3A4
DB05424	EGFR
DB01026	CYP2C8
DB01695	TPI1
DB00852	ADRB2
DB00143	GSTM4
DB00594	AOC1
DB07680	CMA1
DB00157	NDUFA7
DB07388	NOS3
DB00670	CHRM1
DB01102	ADRB3
DB01207	TBXA2R
DB00126	PAM
DB08846	PRKCB
DB00734	HRH1
DB00824	PDE4B
DB00683	CYP3A5
DB01954	PDE4D
DB00661	CACNB4
DB04841	CYP2C9
DB00268	HTR1D
DB00659	GRIN2C
DB03760	PDK3
DB09026	REN
DB01708	NR1I2
DB06216	HRH1
DB01049	GABRE
DB00849	GABRA3
DB01018	ADRA2B
DB07390	MMP3
DB00313	CYP2C8
DB00411	CHRNA2
DB00086	F2R
DB00200	AMN
DB04820	MAOB
DB01622	ADRA1A
DB01483	GABRA1
DB07701	ACHE
DB00167	IARS2
DB00318	CYP3A7
DB07080	NR1I2
DB00157	HMGCR
DB00889	CYP3A5
DB09053	CYP3A4
DB06069	TOP1
DB00543	ADRA2C
DB07427	HBA2
DB00830	SLC6A3
DB00598	ADRB1
DB04395	LCK
DB01049	HTR3A
DB02494	RPL23
DB04574	CYP1A2
DB02264	FGF1
DB00825	TRPV3
DB01620	HRH1
DB04006	CDK2
DB06844	CCNA2
DB00408	CHRM5
DB01029	CYP2C8
DB01024	UGT1A1
DB01122	ACHE
DB04836	SLC6A2
DB03130	GLO1
DB06216	ADRA2C
DB07621	CYP2A6
DB00197	UGT2B15
DB03101	PNP
DB03461	G6PD
DB01151	ADRA2B
DB06616	CYP3A4
DB06931	GGPS1
DB04234	CTSK
DB01011	CYP11B1
DB00075	C1QC
DB01548	TRIM13
DB07167	CSF1R
DB04604	HASPIN
DB00540	HTR2A
DB07344	MCAT
DB02796	PNP
DB01424	CYP3A7
DB04369	PRSS3
DB05290	EDNRA
DB08354	CSNK2A1
DB04855	KCNK2
DB08515	PSMA4
DB07107	PRKACA
DB01643	TYMS
DB07765	DHRS4L1
DB00016	EPOR
DB00371	GABRQ
DB07468	MYH14
DB00343	CYP2D6
DB00675	PRKCD
DB03329	CTSB
DB01942	GPHN
DB04534	NOS3
DB02638	AVPR1B
DB04920	CACNA1S
DB01198	CYP3A4
DB00296	SCN10A
DB00729	CHRM3
DB01221	HTR1F
DB00952	HTR1B
DB09082	CYP3A4
DB00153	CYP27A1
DB00767	CHRM3
DB02400	NQO1
DB03206	MAN1B1
DB01049	ADRA1A
DB02800	SHMT1
DB04530	CYTH2
DB00583	CPT2
DB07987	MMP3
DB00794	GABRB3
DB00176	SLC6A4
DB00979	BCHE
DB07375	IGKV2-30
DB06594	CYP1A2
DB00031	FGA
DB00195	ADRB2
DB02010	PIK3CG
DB05107	G6PD
DB00041	IL2RB
DB00514	CYBB
DB01171	CYP2C9
DB00087	C1QB
DB01496	GABRA5
DB00468	CYP2C19
DB00543	GABRB3
DB01142	CYP3A4
DB00905	PTGER3
DB02640	METAP2
DB01039	CYP3A4
DB02648	CRAT
DB00025	ASGR2
DB00496	CHRM1
DB01834	GSTP1
DB03742	ESR1
DB08690	UQCR11
DB04464	COX7C
DB00945	PRKAB1
DB09078	FLT4
DB06603	HDAC5
DB00996	CACNA2D2
DB04871	HTR2C
DB00558	NEU2
DB03575	GRIN3A
DB01196	MAP2
DB00482	PTGS2
DB00169	CYP27A1
DB00624	CYP1A1
DB05736	CTSK
DB00961	SCN10A
DB00402	GABRQ
DB01611	TLR9
DB04395	SRPK2
DB08896	CYP2B6
DB03461	HSD17B8
DB00835	CHRM3
DB01028	GABRA3
DB01588	GABRR2
DB07401	UQCRQ
DB00518	TUBA1A
DB02325	TNF
DB04464	COX6C
DB08800	HRH1
DB04315	TUFM
DB01873	TUBB4A
DB00292	GABRA1
DB00475	GABRA1
DB00520	CYP3A4
DB00599	GRIK2
DB01392	HTR2C
DB04574	CYP3A4
DB02901	CYP11A1
DB05283	CYP1A2
DB00889	CYP1A1
DB00540	CYP3A4
DB01238	HTR1D
DB00893	HBB
DB00540	HTR2C
DB01363	ADRA2C
DB00976	CYP3A5
DB01393	CYP3A4
DB02262	DHODH
DB02281	MTAP
DB01205	GABRB3
DB08164	DPP4
DB07088	PRSS1
DB06237	PDE5A
DB01183	ESR1
DB01268	CYP3A4
DB08750	NOS2
DB00197	UGT1A7
DB00674	CHRNA10
DB03435	GLT6D1
DB03783	CYP2C9
DB00763	CYP2C9
DB05249	CSF3R
DB02772	LYZ
DB06096	HTR1B
DB06097	CENPE
DB00543	GABRA4
DB00642	TYMS
DB01241	PPARA
DB00554	PTGS2
DB00126	PLOD1
DB01234	CYP11A1
DB06616	ABL1
DB00551	MMP12
DB01251	KCNJ8
DB00333	GRIN3A
DB00641	CYP2C9
DB03892	NOS1
DB00321	CHRM3
DB04444	GNAT1
DB00949	CYP2E1
DB01018	ADRA2A
DB01782	MAPK8IP1
DB00721	SLC6A3
DB01159	NPSR1
DB06927	ESR1
DB01151	SLC6A4
DB06917	LTA4H
DB00470	CYP2A6
DB00490	CYP3A7
DB07162	JAK2
DB00408	HTR5A
DB00741	ANXA1
DB02379	IFNB1
DB00637	HRH1
DB01087	CYP3A4
DB09068	HTR1A
DB00163	GSTA2
DB07157	CPB1
DB00073	FCGR2A
DB00361	CYP2D6
DB01094	CYP1A2
DB01173	SCN10A
DB02325	RNGTT
DB01466	CYP3A7
DB00340	CHRM2
DB02494	RPL19
DB05216	KIT
DB00162	RDH8
DB00887	CFTR
DB02236	GART
DB01023	CACNA2D2
DB02701	SIRT5
DB00489	ADRB2
DB03149	CMA1
DB07330	PARP1
DB00549	PTGS1
DB01162	ADRA1D
DB00019	ELANE
DB01189	GABRA2
DB05676	IFNG
DB00568	CHRM3
DB07479	POLB
DB00441	CDA
DB00078	FCGR2B
DB00509	TPO
DB04741	UQCRC1
DB00502	DRD1
DB01363	ADRB2
DB01403	ADRA1B
DB01435	CYP2E1
DB00157	NSDHL
DB01565	TRIM13
DB00364	FGA
DB00898	CHRNB2
DB05472	IFNAR1
DB00418	GABRA1
DB02079	AGXT
DB02701	CYP2D6
DB03039	CA2
DB06875	NCOA1
DB01226	CHRM2
DB00232	CA1
DB02325	GCH1
DB00169	CYP3A4
DB05816	DRD1
DB07230	NCOA1
DB00171	APAF1
DB01065	CYP1A2
DB00356	KCNMA1
DB01277	IGFBP3
DB00599	GABRA4
DB01727	ACO2
DB07145	ADAM17
DB08231	GUCA1A
DB00834	PGR
DB01267	ADRA1A
DB00476	CYP1A2
DB00978	CYP1A2
DB00564	CYP3A4
DB03253	DPP4
DB08674	FNTB
DB02342	COMT
DB00909	SCN2B
DB00921	CYP2C9
DB00724	TLR7
DB02701	LDHA
DB05435	FFAR4
DB08342	TRAPPC1
DB09570	CYP2C19
DB00458	HRH1
DB00794	GABRD
DB01149	CYP3A5
DB05469	ADRA1B
DB03516	AOX1
DB06692	CTRB1
DB07410	GGPS1
DB04512	LCN9
DB00361	CYP3A4
DB00201	ITPR3
DB00152	SLC19A2
DB01289	KCNJ8
DB01221	CYP2C9
DB02404	ACHE
DB05295	VDR
DB00398	CYP2D6
DB00531	CYP3A4
DB07406	MAPKAPK2
DB00973	CYP3A4
DB02266	AKR1C3
DB00078	C1QB
DB00724	TLR8
DB00977	ESR1
DB07597	PNMT
DB08289	IGKC
DB03680	ME2
DB00349	GABRE
DB00926	RXRG
DB01411	IL5
DB02661	PAPSS1
DB03721	SIGLEC1
DB07766	CDK16
DB00569	SERPINC1
DB01873	TUBB3
DB06216	HTR7
DB00831	CYP1A2
DB00095	C1QC
DB00849	GRIA2
DB01752	SETD7
DB06738	UGT1A9
DB01159	GABRB1
DB00895	FCER1A
DB05171	PSENEN
DB01236	GABRA2
DB08818	HAPLN3
DB02379	LGALS2
DB00139	PLOD3
DB01049	HTR3B
DB02890	UMPS
DB00328	UGT2B7
DB04880	PDE3A
DB08437	RPL8
DB00171	ACSS1
DB03535	PREP
DB07374	RPL13A
DB06064	PRKCE
DB00788	CYP2C8
DB06678	HRH1
DB07947	PKIA
DB08892	GABBR2
DB00744	CYP2C9
DB01181	CYP3A7
DB00540	ADRB2
DB00906	SLC6A1
DB00484	ADRA2C
DB00157	ME1
DB07119	NCOA1
DB01589	GABRA1
DB02767	LY96
DB00734	ADRA1A
DB06707	SLC6A2
DB07014	GSK3B
DB09102	CYP3A4
DB00091	PPIF
DB00480	CRBN
DB03193	PLA2G2D
DB03147	XDH
DB00546	GABRA3
DB01009	PTGS2
DB05461	HTR2B
DB01173	CYP3A4
DB01095	CYP1A2
DB03907	COMT
DB01435	CYP2A6
DB01059	CYP3A4
DB00692	ADRA2A
DB05920	TOP2A
DB07232	PARP1
DB01370	TF
DB00696	ADRA1B
DB00589	DRD2
DB00248	HTR1A
DB07744	CASP1
DB01136	CYP3A4
DB07254	EPHB4
DB04195	PYGM
DB04316	CPA1
DB05694	GNRHR
DB01058	CYP1A2
DB07080	NR1H3
DB06891	CA2
DB00013	PLAUR
DB00400	KRT12
DB01048	UGT1A1
DB04946	DRD2
DB01392	CYP2D6
DB00753	GABRG2
DB06697	CYP2B6
DB00413	DRD1
DB00780	CYP3A5
DB00818	GABRA3
DB01231	CHRM1
DB08491	MMP1
DB00989	CYP2D6
DB08231	TRAPPC3
DB00898	CHRNB4
DB01645	ESR2
DB01559	GABRR3
DB01777	AANAT
DB01174	CYP2E1
DB01562	CYP2D6
DB01892	PTGS1
DB06869	F2
DB00454	CYP2C19
DB05168	FOLR1
DB07974	F10
DB07441	IGHG1
DB00052	GHR
DB03127	KLK6
DB06969	HSP90AA1
DB06854	F2
DB04905	CYP2D6
DB01221	CHRM1
DB08325	MERTK
DB00933	HTR2A
DB00703	CA7
DB01242	HTR2A
DB04464	S100G
DB08065	AURKA
DB05025	SOD1
DB00186	GABRG1
DB01077	PTPRS
DB03791	NR1H2
DB01118	CACNA2D2
DB08097	MAPK14
DB00157	HSD17B2
DB01595	GABRQ
DB00197	CYP2B6
DB00148	CKMT2
DB07274	KDR
DB00619	PTGS1
DB00988	CYP2C9
DB07737	BACE1
DB00142	CPQ
DB04251	BCHE
DB00408	ADRB1
DB01104	CYP2C19
DB01361	CYP2C9
DB01345	ATP1A1
DB06756	BCHE
DB06980	SKP1
DB00436	CA4
DB03267	PCK1
DB05115	INSR
DB01165	CYP1A2
DB00470	CYP2C19
DB00725	CHRM2
DB01238	CYP3A7
DB08148	PKIA
DB03935	ANXA5
DB01118	CYP2A6
DB08042	KDR
DB00783	ESR1
DB08018	NOS1
DB01551	CYP3A4
DB01054	CYP3A5
DB00325	CYP1A1
DB01185	AR
DB04922	CACNA2D1
DB00898	GRIA2
DB06616	LYN
DB00112	C1QB
DB00458	HTR6
DB00197	ESRRA
DB04132	GLO1
DB00377	CYP3A4
DB06204	CYP2C19
DB00334	HRH4
DB01708	GABRB1
DB05014	PDGFRB
DB02910	ECI1
DB00528	CYP3A4
DB00228	GABRG3
DB05470	IL6
DB00413	DRD4
DB03814	L3MBTL1
DB06292	CYP2C9
DB00073	FCGR3A
DB00584	CYP3A4
DB07299	F11
DB00543	CHRM3
DB04845	CYP3A4
DB06228	CYP2J2
DB00009	FGA
DB00997	NDUFS3
DB01591	CHRM5
DB01437	GABRB1
DB08912	BRAF
DB00997	NDUFS2
DB04216	UGT3A1
DB05075	FLT4
DB07763	UQCRH
DB01267	HTR2A
DB05311	KLKB1
DB00710	FDPS
DB02562	PAH
DB04476	LCN2
DB00514	CHRNA7
DB00334	ADRB3
DB00157	GLUD1
DB02696	B4GALT1
DB00342	CYP2J2
DB00641	UGT2B7
DB06825	GNRHR
DB06204	CYP2D6
DB04953	KCNQ3
DB05812	CYP3A4
DB00126	TMLHE
DB00514	CHRNB2
DB01186	ADRA1A
DB00904	CYP2C9
DB00408	CHRM3
DB01807	MAPK14
DB08322	PYGM
DB03982	PTPN1
DB00042	VAMP1
DB00145	GPR18
DB07712	ESR1
DB08907	SLC5A1
DB07529	CDK2
DB03070	IMPDH2
DB00916	CYP51A1
DB00700	CYP3A4
DB05455	AVPR1B
DB01065	RORB
DB00917	CYP19A1
DB00999	CA1
DB00532	CYP2C9
DB02490	CKM
DB00139	HSD17B6
DB06741	GRIN3A
DB06603	HDAC8
DB08918	CYP2C19
DB00758	CYP1A2
DB00837	GABBR1
DB01631	LCN2
DB01159	KCNMA1
DB02691	FABP6
DB01234	CYP2D6
DB03147	CYB5R1
DB00463	GRIK2
DB00036	GGCX
DB00311	CA2
DB00711	ALOX5
DB00726	ADRA1B
DB01791	PDE4C
DB01359	ADRB1
DB00334	HTR1D
DB00363	ADRA2C
DB07456	PDPK1
DB00398	FLT3
DB00412	PPARG
DB01026	CYP11A1
DB01238	HTR3A
DB08403	MMP8
DB07530	NCOA1
DB00637	CYP3A4
DB00132	FADS2
DB00542	MTHFR
DB00818	CYP2C8
DB06419	CYP3A5
DB00268	DRD5
DB00368	ADRB2
DB01015	CYP2C9
DB00363	CYP2A6
DB00799	RARA
DB00250	CYP3A4
DB00613	CYP2C9
DB03080	HSP90AA1
DB00987	DCTD
DB01283	PTGS2
DB06637	KCNA10
DB01325	CA1
DB02518	AKR1B1
DB04912	HMOX1
DB00364	EGF
DB04419	PTH
DB01033	PPAT
DB03670	PTPN1
DB01204	CYP2E1
DB00363	DRD2
DB00445	CHD1
DB07471	CDK2
DB04653	CAPN1
DB00334	CHRM1
DB07106	HNMT
DB00039	FGFR2
DB00192	SCN5A
DB00201	PDE2A
DB06637	KCND1
DB01221	GRIN3A
DB00611	OPRK1
DB07598	GRIA2
DB03814	ASL
DB00250	PTGS1
DB00343	CACNG1
DB00111	FCGR2C
DB07048	CA2
DB00162	RETSAT
DB00241	GABRA3
DB00687	NR3C1
DB01884	DPP4
DB00114	IGSF10
DB00586	ALOX5
DB03159	PRSS1
DB01418	VKORC1
DB07793	PYGM
DB01183	OPRD1
DB01028	CYP2A6
DB00683	GABRB1
DB08755	CTSS
DB04906	PPP3R2
DB00370	ADRB2
DB00571	CYP2D6
DB01026	CYP11B1
DB00499	CYP1B1
DB00139	SUCLG1
DB05387	MMP12
DB00188	CYP2C9
DB00988	MAOA
DB05194	CSF2RA
DB03509	PARP1
DB02067	SHMT1
DB00829	CYP2C18
DB00145	GCSH
DB07749	CTRB1
DB00768	S100A13
DB08119	CTRB1
DB07905	MAPK1
DB08873	CYP3A4
DB00801	GABRA4
DB00421	CYP2C8
DB01388	CACNB1
DB02692	NOS3
DB00171	SLC25A4
DB00773	PTGS2
DB00811	IMPDH1
DB03247	PNPO
DB06655	GLP1R
DB00972	CYP2C9
DB04021	ACHE
DB06853	F2
DB03672	BCHE
DB00920	PDE7A
DB00977	NR1I2
DB05804	PTGS2
DB00114	NFS1
DB00237	GABRQ
DB00836	OPRM1
DB01156	CYP2B6
DB03880	ADAM28
DB01201	CYP3A7
DB01601	CYP3A4
DB00246	CHRM4
DB01497	OPRD1
DB02407	CDK2
DB00852	ATF2
DB03374	PKIA
DB05900	IGF1R
DB00363	HRH1
DB05467	RARG
DB06282	CYP3A4
DB00157	NDUFA8
DB00943	CYP3A4
DB02010	ZAP70
DB00270	CACNA2D2
DB00683	GABRA3
DB00349	GABRA5
DB02322	CCL5
DB05921	HDAC1
DB00690	GABRQ
DB01039	CYP2C8
DB02158	MTAP
DB00753	GABRB1
DB01015	PTGS1
DB04560	ALAD
DB01558	GABRG1
DB00321	ADRA1A
DB06713	PGR
DB01174	CYP2A6
DB01275	CYP3A4
DB06413	CYP1A2
DB01109	F10
DB00412	CYP2C8
DB01049	GABRQ
DB00177	CYP2C9
DB01245	CHRNA2
DB03194	MBL2
DB00290	LIG3
DB00466	GABRR1
DB04137	GLUD1
DB01046	CBR1
DB01283	CYP2C19
DB00157	MT-ND6
DB00458	CHRM2
DB00116	FTCD
DB02701	CYP2E1
DB01014	PTGS2
DB00408	ADRA2A
DB08848	SLC6A12
DB01159	GRIN2A
DB00175	HMGCR
DB00306	GABRQ
DB05023	IGF1R
DB05301	CASP1
DB00780	GPT
DB01373	COMP
DB04141	UQCRC2
DB00338	CYP2C18
DB03732	BST1
DB00818	CYP2C18
DB01205	GABRA3
DB04325	PRSS1
DB07102	LTA4H
DB00690	GABRE
DB00713	SLC15A2
DB00432	TYMP
DB00393	NR3C2
DB01215	GABRR3
DB00091	CYP3A7
DB01043	CYP2B6
DB00968	DDC
DB02953	MMP8
DB06372	IL1RN
DB00756	SDHD
DB00850	CYP1A2
DB00988	MAOB
DB01646	RHO
DB00606	CA4
DB00543	GABRB1
DB01241	CYP2C19
DB09068	CYP2C8
DB01392	HTR1A
DB01200	CYP3A4
DB07537	KDR
DB00946	CYP2C8
DB00233	MPO
DB07359	GCK
DB08687	HIF1A
DB01497	TRIM13
DB00172	SLC6A7
DB03596	CA2
DB00311	CA4
DB01149	CYP3A7
DB08897	CHRM5
DB08846	CA1
DB00142	GLUD1
DB01915	C3
DB00349	GABRB3
DB06741	GRIN2A
DB04855	ADRA2B
DB06712	CYP2C8
DB01288	ADRB3
DB00758	CYP2C19
DB00514	CYP3A5
DB04552	PLA2G4A
DB08437	RPL10L
DB00620	BCHE
DB00151	CARS
DB00114	GPT2
DB00289	SLC6A4
DB00904	HTR1A
DB08149	PRKACA
DB06616	CAMK2G
DB03878	ABL1
DB00010	GHRHR
DB06678	HTR2B
DB08901	LCK
DB00186	GABRA5
DB00475	GABRB3
DB02742	MAN1B1
DB00734	CYP3A7
DB01110	CYP1A2
DB00798	LRP2
DB00276	KCNH2
DB00612	ADRB2
DB09016	HTR2A
DB01116	CHRNA10
DB07508	F2
DB00813	OPRD1
DB04001	PTPN1
DB00801	GABRQ
DB00788	UGT1A1
DB01577	MAOA
DB07067	DPP4
DB00871	BCHE
DB07519	BACE1
DB00582	CYP3A5
DB00092	FCGR2C
DB00143	GSTZ1
DB06694	ADRA1D
DB00030	CTSD
DB00849	GABRA2
DB00228	GABRG2
DB07037	CHEK1
DB00814	PTGS1
DB00898	KCNJ3
DB01791	PDE4B
DB00328	PTGS1
DB05676	PDE4D
DB02340	F13A1
DB00002	FCGR3B
DB00675	PRKCG
DB03773	AMY2A
DB00546	CYP2C19
DB00343	CYP3A4
DB00898	HTR3B
DB05849	ADRB2
DB00960	HTR1A
DB07678	ESR1
DB08231	TLR4
DB06726	ADRB1
DB01035	BCHE
DB01254	SRC
DB07444	DAPK1
DB02741	RARG
DB01049	GABRA2
DB01169	CYP1B1
DB04829	HTR1A
DB00690	GABRG1
DB00188	PSMA7
DB01649	DCPS
DB01119	CA1
DB00917	PTGER2
DB05146	KDR
DB00119	SLC16A2
DB04896	SLC6A2
DB01129	CYP1A1
DB00186	GABRA2
DB01742	PPIA
DB04786	FSHR
DB02670	SMARCA5
DB01049	HTR3C
DB01902	ERO1B
DB04272	CS
DB01281	CD80
DB00813	CYP3A5
DB00022	IFNAR1
DB01337	BCHE
DB07350	HDAC8
DB01192	CYP3A4
DB07533	CCNA2
DB00005	FCGR2C
DB00370	SLC6A2
DB03010	TUBA1A
DB05429	CCL11
DB08916	ERBB2
DB00703	CYP2D6
DB00157	NQO2
DB06716	GABRB2
DB00393	CACNB4
DB01946	PDPK1
DB06741	CYP2C9
DB00988	DRD3
DB00075	CD3G
DB00334	ADRB2
DB00142	GAD1
DB06148	ADRA1D
DB01156	CYP2D6
DB00655	CYP1B1
DB00786	MMP13
DB01587	CYP3A4
DB08020	ESR2
DB06957	HSP90AA1
DB00531	CYP2D6
DB00909	CA13
DB00210	RARB
DB00411	CHRM1
DB01173	GRIN3B
DB00464	PROS1
DB00762	CES2
DB02974	CYP2B6
DB09043	GLP1R
DB06693	HMGCR
DB06237	CYP3A4
DB00193	OPRD1
DB00836	CYP2D6
DB00939	KCNQ3
DB01577	SLC6A4
DB06729	CYP2A6
DB00912	CYP3A4
DB08263	HIF1AN
DB06692	PLG
DB00852	JDP2
DB08629	ATP5F1A
DB08923	EPOR
DB00031	SERPINE1
DB00144	SMPD4
DB01028	CYP2D6
DB01064	ADRB1
DB07991	ESR1
DB01410	CYP2D6
DB01656	PDE4C
DB03404	MB
DB00983	CYP2C19
DB00503	CYP3A5
DB04076	PNP
DB00851	CYP1A1
DB00200	MMAA
DB00604	CYP3A5
DB01177	CYP2C9
DB04464	COX6B1
DB00131	PIM1
DB00246	HTR7
DB01038	DRD2
DB08781	CHEK1
DB00182	ADRA1B
DB00972	CYP3A5
DB00942	CHRM1
DB04982	GRIA1
DB07705	CYP51A1
DB00034	IFNAR2
DB01355	GABRA5
DB03900	METAP2
DB08250	KIF11
DB01160	PTGFR
DB01115	CACNA2D1
DB00755	RXRB
DB07730	PTPN1
DB01248	BCL2
DB01236	CYP2E1
DB05752	CHRM4
DB00054	C1S
DB00239	CYP3A4
DB00690	GABRA2
DB06905	PPP2CA
DB00674	CHRNA9
DB01159	GABRE
DB01708	GRIN2B
DB00726	HTR2A
DB02659	ESRRG
DB06836	PIK3CG
DB01239	CHRM5
DB00682	CYP2C8
DB01277	IGF1R
DB08454	CAMK1D
DB00864	FKBP1A
DB00241	GABRG2
DB03056	CES1
DB01049	GABRA1
DB04801	PPARD
DB01024	UGT2B7
DB04465	GLTP
DB09330	CYP3A4
DB04315	NME2
DB00384	SCNN1G
DB00324	CYP3A4
DB01558	GABRA1
DB02198	PTGS1
DB02464	PRSS2
DB04847	EGLN3
DB00562	CA2
DB01244	CACNA2D2
DB00667	HRH2
DB06738	GRIN2A
DB07780	RABGGTA
DB01440	GABRB1
DB06216	HTR2B
DB00128	DARS
DB05415	PDE5A
DB01229	CYP3A4
DB00849	GABRA5
DB04013	PYGM
DB01681	PGAM2
DB03468	PNMT
DB00628	GABRA5
DB06921	CPB1
DB00736	CYP2C19
DB01576	CYP2D6
DB00203	PDE6H
DB07625	PLAU
DB06714	SLC18A2
DB04495	SRC
DB07698	HASPIN
DB00501	CYP2D6
DB00420	CHRM3
DB03956	PLCD1
DB03341	AANAT
DB02795	PLA2G1B
DB00157	HSD17B10
DB00786	MMP11
DB00774	CA4
DB03092	AMY1C
DB01927	NQO1
DB00751	CYP3A4
DB00221	ADRB2
DB00277	HDAC2
DB04272	HS3ST3A1
DB00999	CA12
DB04106	TXNRD1
DB01254	YES1
DB00318	CYP3A4
DB01103	PLA2G6
DB03541	DHRS4L1
DB00938	ADRB2
DB04894	SSTR5
DB01156	SLC6A2
DB09079	FGFR2
DB00321	KCNQ3
DB00062	UGT1A9
DB00934	CYP1A2
DB01355	GRIK2
DB07175	BACE1
DB07272	MAPK8IP1
DB08058	PARP3
DB01403	CYP1A2
DB00234	SLC6A2
DB00877	CYP3A4
DB00477	HTR2A
DB00431	GLRA2
DB02071	MMP13
DB03088	KRTAP5-2
DB00935	ADRA2A
DB00960	CYP2D6
DB00157	ME2
DB00918	CYP1A2
DB00472	CYP1A2
DB00898	CHRNA9
DB00775	ITGB3
DB00651	PDE7B
DB00624	CYP2A13
DB05335	PTGS1
DB00130	ASNS
DB07521	F2
DB01660	SYN1
DB07430	MAPKAPK2
DB07612	CDK2
DB01336	CHRM2
DB04282	LCT
DB00688	IMPDH1
DB00157	TYR
DB00401	CYP3A4
DB00810	CHRNA2
DB00688	UGT2B7
DB08569	PRKACA
DB08179	GLO1
DB01437	GABRQ
DB04074	BCAT2
DB02659	COX5A
DB00408	DRD3
DB07437	UPP1
DB03685	UCKL1
DB00259	CYP2D6
DB00962	GABRA1
DB04832	MAOB
DB00155	PADI3
DB01205	GABRD
DB00114	PDXP
DB00215	CYP3A4
DB01248	MAP4
DB00128	ASPH
DB06973	ESRRG
DB00157	CYB5R3
DB00172	PPIA
DB05787	ITGB3
DB06127	DPP4
DB00312	GRIN2C
DB01656	PDE4B
DB00140	MTHFR
DB00162	RDH11
DB00762	CYP3A5
DB02740	TRBC1
DB01810	CTSF
DB06216	CYP2D6
DB01708	GABRE
